"status","totalResults","results__article_id","results__title","results__link","results__keywords","results__creator","results__keywords__001","results__keywords__002","results__keywords__003","results__keywords__004","results__creator__-","results__video_url","results__description","results__content","results__pubDate","results__image_url","results__source_id","results__source_url","results__source_icon","results__source_priority","results__country__001","results__country__002","results__country__003","results__country__004","results__country__005","results__category__-","results__language","results__ai_tag","results__sentiment","results__sentiment_stats","results__ai_region","nextPage"
"success","176","1a940cf4934ae65730c627241047e9e6","Trump says banning TikTok would help Facebook, even if it’s a national security threat","https://thebusinessjournal.com/trump-says-banning-tiktok-would-help-facebook-even-if-its-a-national-security-threat/?utm_source=rss&utm_medium=rss&utm_campaign=trump-says-banning-tiktok-would-help-facebook-even-if-its-a-national-security-threat","","","national","","","","JILL COLVIN Associated Press","null","Former President Donald Trump said Monday that he still believes TikTok poses a national security risk but is opposed to banning the The post Trump says banning TikTok would help Facebook, even if it’s a national security threat appeared first on The Business Journal.","ONLY AVAILABLE IN PAID PLANS","2024-03-11 21:05:51","null","thebusinessjournal","https://thebusinessjournal.com","https://i.bytvi.com/domain_icons/thebusinessjournal.png","86686","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS","1710185254571074976"
"","","176a6728d80ec0b4b1d49074c17f2c23","Best Solar Panel Installation Companies in New Mexico - CNET","https://www.cnet.com/home/energy-and-utilities/new-mexico-solar-panels/#ftag=CAD590a51e","null","","","","","","Caitlin Ritchie","null","With some of the best peak sunlight hours in the country and solid state-level financial incentives, could the switch to clean energy in New Mexico be right for you?","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:52:43","https://www.cnet.com/a/img/resize/78300efc7d2dcc1de345d0296f6d9afc4909af90/hub/2023/03/03/5f847f29-b175-4b90-aa4c-116d2b4ac4da/gettyimages-1160009400-1.jpg?auto=webp&width=300","cnet","https://www.cnet.com","https://i.bytvi.com/domain_icons/cnet.png","155","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","04c465993dbca7f126f3e857f9bc15e4","Best Solar Panel Installation Companies in New Mexico - CNET","https://www.cnet.com/home/energy-and-utilities/new-mexico-solar-panels/#ftag=CADf328eec","null","","","","","","Caitlin Ritchie","null","With some of the best peak sunlight hours in the country and solid state-level financial incentives, could the switch to clean energy in New Mexico be right for you?","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:52:43","https://www.cnet.com/a/img/resize/78300efc7d2dcc1de345d0296f6d9afc4909af90/hub/2023/03/03/5f847f29-b175-4b90-aa4c-116d2b4ac4da/gettyimages-1160009400-1.jpg?auto=webp&width=300","cnet","https://www.cnet.com","https://i.bytvi.com/domain_icons/cnet.png","155","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","0d33348d003d0300fccf280b2b05f53d","Best Solar Panel Installation Companies in New Mexico - CNET","https://www.cnet.com/home/energy-and-utilities/new-mexico-solar-panels/#ftag=CAD5457c2c","null","","","","","","Caitlin Ritchie","null","With some of the best peak sunlight hours in the country and solid state-level financial incentives, could the switch to clean energy in New Mexico be right for you?","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:52:43","https://www.cnet.com/a/img/resize/78300efc7d2dcc1de345d0296f6d9afc4909af90/hub/2023/03/03/5f847f29-b175-4b90-aa4c-116d2b4ac4da/gettyimages-1160009400-1.jpg?auto=webp&width=300","cnet","https://www.cnet.com","https://i.bytvi.com/domain_icons/cnet.png","155","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","becc8de65b5a101ac5be2d2e6beeb189","Elon Musk says he's going to open source Grok, his ChatGPT rival","https://sea.mashable.com/tech/31628/elon-musk-says-hes-going-to-open-source-grok-his-chatgpt-rival","","","twitter","tech","elon musk","article","Christianna Silva","null","This comes just after Musk sued OpenAI. xAI, an AI startup that makes up one of Elon Musk's many projects, will open-source Grok. These are all real words now.It's not entirely surprising that Musk would open-source Grok — a chatbot similar to ChatGPT that is modeled after the Hitchhiker’s Guide to …","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:51:47","https://sm.mashable.com/mashable_sea/article/e/elon-musk-/elon-musk-says-hes-going-to-open-source-grok-his-chatgpt-riv_wzbn.jpg","mashable","https://sea.mashable.com","https://i.bytvi.com/domain_icons/mashable.png","363","india","singapore","united kingdom","united states of america","australia","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","53bdd195481f439da1cbc284e4607587","Danish pharma giant zooms past Tesla with new weight loss drug","https://www.ynetnews.com/business/article/bjr4hp3ta","null","null","","","","","","null","Novo Nordisk market value soars past automaker's on news of successful clinical trials; meanwhile, its Wegovy weight loss injection gaining popularity, with doctors poised to prescribe it before pill's widely available","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:46:27","https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/03/11/SJgpDzGnpa/SJgpDzGnpa_0_0_850_479_0_medium.jpg","ynetnews","https://www.ynetnews.com","null","29785","israel","","","","","business","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","8ca5d427e8e2bd6521ffdf3818204039","Trump says banning TikTok would help Facebook, even if it's a national security threat","https://japantoday.com/category/world/trump-says-banning-tiktok-would-help-facebook-even-if-it%27s-a-national-security-threat","null","null","","","","","","null","Former President Donald Trump said Monday that he still believes TikTok poses a national security risk but is opposed to banning the hugely popular app because doing so…","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:39:11","https://japantoday-asset.scdn3.secure.raxcdn.com/img/store/ff/c7/f891d425c246053c75b0f0f48d780f78564e/download/_w850.jpg","japantoday","https://japantoday.com","https://i.bytvi.com/domain_icons/japantoday.png","27031","japan","","","","","world","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","1483e17d2ea0ce05e25e4dea5a074b2f","Redefining AI Development: Musk's xAI Goes Open-Source with Grok","https://www.investing.com/news/stock-market-news/redefining-ai-development-musks-xai-goes-opensource-with-grok-3332946","null","","","","","","Quiver Quantitative","null","null","ONLY AVAILABLE IN PAID PLANS","2024-03-11 20:00:49","https://i-invdn-com.investing.com/news/LYNXNPEB6R0AQ_M.jpg","investing_us","https://www.investing.com","null","1205","united states of america","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","9d7bbce6bd349f79ab5424f27edfa025","Elon Musk takes another swing at OpenAI, makes xAI’s Grok chatbot open-source","https://arynews.tv/elon-musk-takes-another-swing-at-openai-makes-xais-grok-chatbot-open-source/","","","science & technology","elon musk","musk openai","must xai's grok","Reuters","null","Elon Musk said on Monday his artificial intelligence startup xAI would open-source its ChatGPT challenger “Grok” this week, days after he sued OpenAI for abandoning its original mission in favor of a for-profit model. The billionaire has warned on several occasions against the use of technology for profit by big technology companies such as Google. […]","ONLY AVAILABLE IN PAID PLANS","2024-03-11 19:36:58","https://arynews.tv/wp-content/uploads/2024/03/Untitled-1-116.jpg","arynews","https://arynews.tv","null","41852","pakistan","","","","","technology","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
"","","f89f5a713ae905d21fe59629bfc626f4","Gary Klaner: Leading the Kitchens of the Iconic Landmark London","https://www.ibtimes.co.uk/gary-klaner-leading-kitchen-s-iconic-landmark-london-1723483","","null","hospitality","","","","","null","I sat down with Executive Head Chef Gary Klaner of the Landmark London for a candid chat covering his demanding journey to the top, his advice to young chefs, his home life and everything in between.","ONLY AVAILABLE IN PAID PLANS","2024-03-11 19:27:34","https://d.ibtimes.co.uk/en/full/1723022/chef-gary-klaner.jpg?w=736&f=79160e829efba5f797040404f485dbaf","ibtimes","https://www.ibtimes.com","https://i.bytvi.com/domain_icons/ibtimes.png","458722","united kingdom","","","","","top","english","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS","ONLY AVAILABLE IN CORPORATE PLANS",""
